Alina Mfulo,Ratisino (Pty)Ltd - Director,Construction
Amos Fish Mahlalela,MDG Trading,"Service, Trading"
Andrew Frans Madella,DPSA Investment Holdings,Private Company
Andrew Frans Madella,DishRens,Private Company
Andrew Frans Madella,ATS Debt Solutions,CC - Dormant
Andrew Frans Madella,PWD Wellness Institute,Private Company - Dormant
Andrew Frans Madella,PWD and Associates Investment Company,Private Company - Dormant
Andrew Frans Madella,Mamela Protection Services,CC - Dormant
Andrew Frans Madella,Mamela Consultancy,CC - Dormant
Andrew Frans Madella,DPSA Hardware,Private Company (Resigned as Director)
Andrew Frans Madella,BrainWave Projects 2430,CC - Dormant
Andrew Frans Madella,Disabled Peoples Assembly,NPO - Dormant
Andricus Pieter Van der Westhuizen,Director: Berg-en-Toerklub Oudlede Bond (Pty)Ltd,Non-Profit seeking company
Andricus Pieter Van der Westhuizen,Franschoek Jeugontwikkelings trust,Trustee
Andries Nel,Director: The South African Cities Network,Section 21 - Not for Profit
Thoko Didiza,SNZ Trust,Trustee
Thoko Didiza,Thabo Mbeki Foundation,Trustee
Thoko Didiza,Parmed Medical Aid,Trustee
Thoko Didiza,Moreski Consultant 4 CC,Deregistration Process
Thoko Didiza,Ohlange Institute,Trustee
Thoko Didiza,Umcebo Farm Enterprises,Not Active
Thoko Didiza,MIE(Management Integrity Evaluation),Resigned
Annette Steyn,Lake Gariep Development,NGO (Non-Governmental Organisation)
Anton De Waal Alberts,Evening Shade Properties 11 Share Block (Pty)Ltd,EIENDOM
Anton De Waal Alberts,OnseTv(Pty)Ltd,TV
Anton De Waal Alberts,MainFrame Media (Pty)Ltd,TV
Anton De Waal Alberts,In Pas TV (Pty)Ltd,TV
Anton De Waal Alberts,Rubistep (Pty)Ltd,TV
Aumsensingh Singh,OMIE Singh Enterprises CC,Deregistered
Aumsensingh Singh,Omie Singh Enterprises CC,Deregistered
Aumsensingh Singh,Good Food Restaurants,Deregistered
Aumsensingh Singh,Global Business Traders,Not Trading at the Moment
Ayanda Dlodlo,Ayanda Dlodlo Foundation,NPO / Trust
Faith Muthambi,Nyatondani Skills Development,CC - Dormant
Faith Muthambi,FFA Projects,CC - Dormant
Faith Muthambi,Interplay Trading Company,Private Company (Dormant)
Faith Muthambi,Mnamunyanu Trading,CC - Dormant
Faith Muthambi,Nwamusengi Social Consultants CC - Dormant,
Faith Muthambi,Riyapuanda Youth Development NPO (Dormant),
Faith Muthambi,TMAFM Investment,CC (Dormant)
Faith Muthambi,Uatshila Trading Project,CC - Dormant
Baleka Mbete,Mandumo Investment (Reg: 2009/017 205/07),Private Company
Baleka Mbete,Mandumo Holdings (Reg: 2010/016 901/07),Private Company (De-Registration Process)
Baleka Mbete,SBEU Foundation (Reg:2017/244640/08),Non-Profit Entity
Bantu Holomisa,Amalgum (Director),Investment (Dormant)
Bantu Holomisa,Beat the Clock (director),Communications (Dormant)
Bantu Holomisa,ANICIC Heavy Engineering (Director),Engineering(Active)
Bantu Holomisa,Unigas (Director),Gas (Dormant)
Bantu Holomisa,Champions of Environment Foundation,Section 21 Company
Beauty Nomhle Dambuza,Silverton CC,Dormant
Belinda Bozzoli,Bozzoli Consulting (Defunct),Close Corporation
Belinda Bozzoli,Ongins Centre Association (Resigned),Non Profit Company
Belinda Bozzoli,Wits Commercial Enterprises (Resigned),Private company
Belinda Bozzoli,Wits Health Consortium (Resigned),Private Company
Belinda Bozzoli,Elevation Biotech (Resigned),Private company
Benedict Anthony Duke Martins,Safire Insurance Company Ltd. (Non-Executive Director),Insurance
Bhekizizwe Abram Radebe,Mnyezane Fuel,Oil &amp; Fuel
Bongekile Jabulile Dlomo,Inanda Seminary Secondary School,No Remuneration
Bongekile Jabulile Dlomo,Nedal Women resource Centre,NPO for Women(No Remuneration)
Bongekile Jabulile Dlomo,Mantombozone (Monto) and Mendi Education Trust,NPO (No Remuneration)
Blade Nzimande,Financial Sector Coalition Campaign (RESIGNED in 2009),Section 21 Company
Blade Nzimande,Chris Hani Institute (RESIGNED in 2009),Section 21 Company
Blade Nzimande,Phakamani Primary school,School
Blade Nzimande,Phumelele and Blade Foundation Trust,(NPO) Non Profit Organisation
Blade Nzimande,Dambuza Community Trust (Patron),(NPO) Non Profit Organisation
Brenda Tirhani Mathevula,Khomanani Youth Project,Business
Brenda Tirhani Mathevula,BTX Trading Enterprise,Business
Brenda Tirhani Mathevula,Tsalach Agriculture,Agriculture: Farming Project
Buoang Lemias Mashile,DMV (Pty)Ltd,Consulting Engineers
Buoang Lemias Mashile,Ga-Weru Eating House,Restaurant
Buoang Lemias Mashile,Lemmy's Liquor Store,Liquor Store
Busisiwe Clarah Ndlovu,Inca Peace - Director,Construction/ Catering / Supplying of Goods
Cameron Mackenzie,Ivory Palm management CC,Deregistered
Cassel Charlie Mathale,Mabete Sitrus,Sitrus Farm
Cassel Charlie Mathale,Bollanoto 322 Copper Mine CC,Business
Cassel Charlie Mathale,Procprops 110 (Pty)Ltd,Business
Cedric Thomas Frolick,ATATOBIX NPC (Inactive),Investment and Trade (No Income recorded)
Cheryllyn Dudley,Beating Heart - Board Member,Non-Governmental Organisation
Christiaan Frederik Beyers Smit,Director: Cupvision (Pty)Ltd,Property
Claudia Nonhlanhla Ndaba,Basadi Batsho Bokopani Investment,Private Company
Claudia Nonhlanhla Ndaba,Sinovuno Resources,Private Company
Claudia Nonhlanhla Ndaba,Zimeleni Women Africa Cooperative,Primary Co-operative
Cornelia Carol September,Previous Directorship - No longer Exists
Cornelius Petrus Mulder,Only Member,Sirkus Peka - BK-CC
Cornelius Petrus Mulder,Trustee,Zemfira Family Trust
Cornelius Petrus Mulder,Trustee,Political Office Bearers Pension Fund
Cornelius Petrus Mulder,Trustee,Closed Pension Fund
Cornelius Petrus Mulder,Trustee,Connie Mulder Trust
Cornelius Petrus Mulder,Director:,Conquad (Pty)Ltd - Holding Company
Darren Bergman,Member CC,Trading
David Christie Ross,50% KareeHof Flats (stand 93),Residential Flat Block
David Christie Ross,"50% The Yacht Clkub (Unit 633) Foreshore, Cape Town, Flat",
David Christie Ross,50% Acasia Flats (Stand 100 wbv),Residential Flat Block
David Dabede Mabuza,Nelesco (Pty)Ltd,Private Company
David Dabede Mabuza,Beatum Trading,Private Company
David Dabede Mabuza,MiddleGround,Private Company
David Dabede Mabuza,Lindnetsi Trust,Trust
David Douglas Des Van Rooyen,Kimbiya Holdings,Private Company
David Douglas Des Van Rooyen,Muzivonke Mining,Private Company
David Douglas Des Van Rooyen,Phambili Services,Private Company
David Douglas Des Van Rooyen,Late Bloomer,Private Company
David Douglas Des Van Rooyen,Sukuta Enterprises,Private Company
Dean William Macpherson,Sheridan Textiles,Manufacturing
Dean William Macpherson,MDR Trust,Property Development
Dean William Macpherson,Future Asset Finance,Asset Finance
Dennis Dumisani Gamede,Subway Trading,Trading in all aspects
Dennis Richard Ryder,Rohan Farms CC,Dormant
Dennis Richard Ryder,Ryder Foods CC,Winding Down/Dormant
Derek Hanekom,Ahmed Kathrada Foundation,Non Profit Organisation
Dikgang Mathews Stock,BBK Trading and Investments,"Construction, Trading in all Aspects"
Dudu Hellen Mathebe,Kgethegile Trading 100 CC,Training
Dumsani Livingstone Ximbi,Emalangeni,Dormant
Dumsani Livingstone Ximbi,SOS Western Cape (Pty)Ltd,Dormant
Dumsani Livingstone Ximbi,Altimate Development,Dormant
Dumsani Livingstone Ximbi,Emvuza Trading,Dormant
Dumsani Livingstone Ximbi,Geo Africa,Dormant
Dumsani Livingstone Ximbi,KSD Casino Hotel and Entertainment,In Business (Active)
Dumsani Livingstone Ximbi,Sandamel CC,In Business (Active)
Dumsani Livingstone Ximbi,Sisanda Investment,Resigned
Ebrahim Patel,SALRI - Participation Suspended Not For Profit Research Institute
Elizabeth Thabethe,Kwaze-Kwasa Women for Development,NPO (Non-Profit Organisation)
Elizabeth Thabethe,Zonke Trust Kwathema Project,NPO(Non-Profit Organisation) _ Volunteer
Elizabeth Thabethe,Bertha Gxowa Foundation,NPO (Non-Profit Organisation)
Emmanuel Musawenkosi Mlambo,Director: Mavikela (Pty)Ltd,Dormant
Kebby Maphatsoe,Kebrahamx,Private Business
Kebby Maphatsoe,Winter Robin Investments,Private Business
Kebby Maphatsoe,Zanlicure (Pty)Ltd,Private business
Kebby Maphatsoe,Fais Vitae (Pty)Ltd,Private Business
Evelyn Rayne Wilson,SANCA Limpopo (No Remuneration),Drug and Narcotics Association of SA
Ezekiel Kekana,Lapa Laka Retail CC,Business
Ezekiel Kekana,Ndingase Event Management CC Business,
Ezekiel Kekana,Muzenda Trading CC,Business
Ezekiel Kekana,Kgwakena CC,Business
Ezekiel Kekana,Lekgare Training CC,Business
Ezekiel Kekana,Ssifikile Properties (Pty)Ltd,Business
Farhat Essack,Corpolo 2102 (Pty)Ltd,Property Investments
Farhat Essack,Baker Property (Pty)Ltd,Property Investments
Farhat Essack,Tornel Development CC,Property Investments
Fikile Zachariah Majola,Furthermore Investments,Property Holding CO.
Francois Beukman,Director: Blue River Vineyards (Pty)Ltd,Property Holding Company
Francois Beukman,Trustee,Political Office Bearers Pension Fund
Geordin Gwyn Hill-Lewis,Future Asset Finance,Holding Company
Gerhardus Oosthuizen,Trustee: Sediba Trust,Holding Trust
Ghaleb Cachalia,Mentisfactrum (Pty)Ltd,"Financial Advisory, Consulting"
Gijimani Jim Skosana,Jwandey CC,Dormant
Gijimani Jim Skosana,Mabaphile Business Enterprise CC,Dormant
Godrich Ahmed Gardee,Portia Chabangu Trust,Non Governmental
Godrich Ahmed Gardee,Buhle Development,Non Governmental
Gugile Nkwinti,CEEF Africa,Educational (unpaid)
Gwede Mantashe,Umthombe Farming Co- Operative Limited - Director,Primary Co-Operative
Gwede Mantashe,Savalga Trading - Director,Private Company
Gwede Mantashe,Siphamba Consulting - Director,Private Company
Gwede Mantashe,Amatakane Investment - Director Private Company,
Gwede Mantashe,Muopiha Investments - Director,Private Company
Gwen Ngwenya,ADCLIFF - Director,Audience Aggregation
Hendrik Cornelus Schmidt,50% Members Interest in Oak Ridge CC,Dormant
Hendrik Cornelus Schmidt,Member of CAMS (Regulator Institution),Dormant as fas as I am aware - do not know if is still works
Hlomane Patrick Chauke,Ikamva Lethu Mkhonto Investments,Dormant
Hlomane Patrick Chauke,Abaphumeleli Trading 286,Dormant
Hlomane Patrick Chauke,Imvusa Trading 2155,Dormant
Hlomane Patrick Chauke,Camel Rock Trading 443,Dormant
Hlomane Patrick Chauke,Thabile Trading 123,Dormant
Hlomane Patrick Chauke,African Confedence Business,Dormant
Hlomane Patrick Chauke,Ramchau Investment Holding,Dormant
Hlomane Patrick Chauke,Corecuting,Dormant
Hlomane Patrick Chauke,Sizisa Ukhamyo Trading 206,Dormant
Jabulani Lukas Mahlangu,Kwandaga Lodge,Lodge
Jabulani Lukas Mahlangu,Agrihelp Africa,Consultancy Business
Jabulani Lukas Mahlangu,Litshaba Investments,Property and other Business
Jabulani Lukas Mahlangu,Bostique 407,Resigned
Jabulani Lukas Mahlangu,Rainbow Ignite,Social NPO
Jabulani Lukas Mahlangu,Golden Pond,Deregistered
Jabulani Lukas Mahlangu,Michy Development,Deregistered
Jabulani Lukas Mahlangu,Odimart,Deregistered
Jabulani Lukas Mahlangu,Loyal Square,Deregistered
Jabulani Lukas Mahlangu,Pumhlanca,Deregistered
Jackson Mphikwa Mthembu,African Rainbow Minerals,Business
Jackson Mphikwa Mthembu,Ubuntu-Botho,Business
Jacques Warren William Julius,Randfontein Publicity Association NGO-Non Payment executive
James Selfe,SCE Property Holdings (Pty)Ltd Property Investment
Jeff Radebe,Mahatma Ghandi Memorial Trust Memorial Trust
Jeff Radebe,Winnie Mandela Memorial Trust Memorial Trust
Jeremy Cronin,Unpaid Board Member,St Giles Network (Unpaid)
Joanmariae Louise Fubbs,Centre of Education and Economics and finance. Africa (Ceef.Africa),Research
John Jeffery,Trustee of Natal Midlands Heritage Trust,Non Profit Organisation (NPO)
Jonas Phello Parkies,Nqaphel Investment,General
Juliana Danielle Kilian,Director: West best Properties (Pty)Ltd,Dormant property Company: Ceased trading - 2009
Juliana Danielle Kilian,Director / Board Member: Parmed Medical Aid Scheme,Non-remunerated Directorship
Kenneth Raselabe Joseph Meshoe,KRM Empowerment,Training - Dormant
Kenneth Raselabe Joseph Meshoe,Hope for the Nations,Broadcasting - Dormant
Kenneth Raselabe Joseph Meshoe,Woben Projects,Building Construction
Obed Bapela,Alexandra Centenary Association - In Business,Non Profit Company (NPO)
Obed Bapela,Kusini Drinks,Close Corporation (Deregistration)
Obed Bapela,Tholo Management Holdings,Private Company - (Deregistration)
Obed Bapela,Metropolitan Diamond Corporation,Private Company - (Deregistration)
Obed Bapela,WebEasy Africa,Private Company - (Deregistration)
Obed Bapela,Bonbani Cleaning Services (RESIGNED),Cleaning Services - (Deregistration)
Obed Bapela,Blue Dot Properties 1759,Close Corporation - (Deregistration)
Obed Bapela,Johannesburg Water Management,Private Company - (Deregistration)
Obed Bapela,ShelfFrank Sixty Three,Private company - (Deregistration)
Obed Bapela,Ditau Investments Company,Private Company - (Deregistration)
Obed Bapela,Bapela Investments,Private Company - (Deregistration)
Obed Bapela,Tradeworx 9,Private Company - (Deregistration)
Obed Bapela,Mphe Investment Holdings,Private Company - (Deregistration)
Obed Bapela,Mveledzo Investments,Private Company - (Deregistration)
Obed Bapela,Buylines 165,Private Company - (Deregistration)
Candith Mashego-Dlamini,Mbovula Security,Security
Candith Mashego-Dlamini,Kwadokusha House,Guest House
Lehlohonolo Goodwill Mokoena,Director,Siskin World Entertainment
Lehlohonolo Goodwill Mokoena,Director,Siskin Projects
Lehlohonolo Goodwill Mokoena,Director,Praise Poet Pictures
Leonard Jones Basson,ERA Elite Brits CC - 100%,Dormant
Leonard Jones Basson,Emerald Sky Trading 303 (Pty)Ltd - 20%,Sold Properties
Leonard Ramatlakane,Director (Resigned),LMV Investments (Energy) Dormant
Leonard Ramatlakane,Director (30%),African Virtual Gas Management
Leonard Ramatlakane,Director (Dormant),Hoseng 2017 GLN
Leonard Ramatlakane,Director (New Company),South Africa (Pty)Ltd - Installation of Solar Systems
Leon Magwebu,Director,Vusithemba Recruitment Agency (Dormant)
Lerato Cynthia Theko,Madams PUB - Director,Deregistered
Lerato Cynthia Theko,Hatuhana Construction and Projects 1 CC - DIRECTOR,Supply Construction
Lewis Paul Musawenkosi Nzimande,South African Development Trust NGO
Lewis Paul Musawenkosi Nzimande,KZN Society for the Blind,NGO
Lewis Paul Musawenkosi Nzimande,Disabled People South Africa,NGO
Lindiwe Michelle Maseko,Women,NGO
Lindiwe Michelle Maseko,Bombani Home for Abused Women,NGO
Lindiwe Michelle Maseko,Levai Mbatha trust,NGO
Lindiwe Michelle Maseko,Tisella Investment Holding,
Lindiwe Sisulu,Votani Mawethu,1999 Voter Registration Company (NPO)
Loyiso Khanyisa Bunye Mpumlwana,Loyiso Investments,Property Development
Loyiso Khanyisa Bunye Mpumlwana,MK Mzana,General Suppliers
Loyiso Khanyisa Bunye Mpumlwana,Jqwili Lengubeko Neelwimi Zomthonyana,Charity
Loyiso Khanyisa Bunye Mpumlwana,Elias Lupuwama,Charity
Loyiso Khanyisa Bunye Mpumlwana,Phumelele Finance,Charity
Lungi Annette Mnganga-Gcabashe,Owabantu (Pty)Ltd t/a Saint and Spicy Trading 800,Deregistered
Sindi Chikunga,Director - Dormant,Microzone
Sindi Chikunga,Dormant,Pels
Sindi Chikunga,Dormant,Fixtrade
Sindi Chikunga,Dormant,Quadratic Trading
Maapi Angelina Molebatsi,Director: WACA Advice Centre (Unpaid),Abuse Centre
Maapi Angelina Molebatsi,Director: Better Life Protection Service (Dormant),Protection Service
Maapi Angelina Molebatsi,Noah Care Centre (Unpaid),Orphans
Machwene Rosina Semenya,Nthadima Trading,Private Company
Machwene Rosina Semenya,Reyagala womens consortium Holdings,Private Company
Machwene Rosina Semenya,NMS Resource,Private Company
Madala Masuku,Ncumisa Kondlo HQ,Signatory (non Profitable Organisation)
Maggie Sotyu,Masiqame CC,Collective Investment Scheme (Non-Active)
Makosini Chabangu,Director,Namakati - Spaza Shop
Maliyakhe Lymon Shelembe,Apex Socialite Investments,Trading in all Aspect
Maliyakhe Lymon Shelembe,Exnzini Lounge,Liquor Restaurant Liqour
Malusi Stanley Motimele,M.S Motimele Marketing,Private Company
Malusi Stanley Motimele,SPV Trading,Private Company
Mamagase Elleck Nchabeleng,Lolifax,Close Corporation
Mamagase Elleck Nchabeleng,Award,Non Governmental Organisation
Mamagase Elleck Nchabeleng,Masebotho,Close Corporation
Mamagase Elleck Nchabeleng,Cool Ideas,Close Corporation
Mamagase Elleck Nchabeleng,Nkuzi Rural development association,Non Governmental Organisation
Mamagase Elleck Nchabeleng,Kgoro Upliftment,Close Corporation
Mamagase Elleck Nchabeleng,Edge to Edge,Close Corporation
Mamagase Elleck Nchabeleng,Autonum Star,Close Corporation
Mamagase Elleck Nchabeleng,Triple Option SA 9,Close Corporation
Mamonare Patricia Chueu,Director:,APL Logistics
Mandlenkosi Sicelo Mabika,Manavzi Kosibay Shianyama,Restaurant
Mangosuthu Gatsha Buthelezi,Keldoron Properties 8,Unremunerated
Masefako Clarah Dikgale,Mogogadi Enterprise,Business Activity (Dormant)
Masefako Clarah Dikgale,Fetogang Makgarebe Cultural Group,NGO (Chairperson)
Masefako Clarah Dikgale,Baruiba Temana,Agricultural (Member)
Masefako Clarah Dikgale,Kgwerano E Tizle,Agricultural (Monitor)
Masefako Clarah Dikgale,Masefako Funerals,Business (Director)
Mathole Serofo Motshekga,Sechaba Trust,Insolvency Practice
Mathole Serofo Motshekga,KaraHeritage Institute,NGO Involved in Heritage Education
Mathole Serofo Motshekga,Mukoni Trust Investment Holding (Pty)Ltd,Business
Joseph Phaahla,Trustee: Ingwe and Moshate Trusts,Both are Family Trusts with Ingwe trust holding shares in a mining Company
Joseph Phaahla,Resigned from all previously held directorship including companies Promethium and Singenile Capital in 2012,
Angie Motshekga,Mathole Flynn,Close Corporation
Angie Motshekga,Igugu Lesizwe Gold Investments Private Company,
Angie Motshekga,Samme Ngwana mme Community,Non-Profit Company
Angie Motshekga,Imbewu Trust,Non-Profit Company
Matthews Johannes Wolmarans,TransYork Services - Director,De-Registered
Matthews Johannes Wolmarans,Megaworks Trading Enterprise 187 - Director,Programme/ Projects Management
Matthews Johannes Wolmarans,SARGB Holdings - Director,Resigned
Matthews Johannes Wolmarans,Western Breeze TRD 110 - Director,Projects / Programme
Matthews Johannes Wolmarans,MOSA Projects and Investments - Director,General Enterprise / Projects
Matthews Johannes Wolmarans,Northwest Star - NTI -Attridgeville Bus Services Director,Resigned
Mbulelo Richmond Bara,Numisa Projects,Dormant
Mbulelo Richmond Bara,Plipa Projects,Dormant
Mbulelo Richmond Bara,Tsalanang Enterprises,Dormant
Mcebisi Skwatsha,2002. MCE-Le-RENT-A-LOO PROTOCOR FORTY FIVE (This has been placed under the Administrator of Mr Lefta Mapilo,Mobile Toilets
Mervyn Alexander Dirks,No Regrets Trading,Final Deregistration
Mervyn Alexander Dirks,Redlands Suite 5,Final Deregistration
Mervyn Alexander Dirks,INVESTRAC 21,Final Deregistration
Mervyn Alexander Dirks,Commshelf 24,Final Deregistration
Mervyn Alexander Dirks,Cliesta Investment,Close Corporation
