Category,Subcategory,Description,Type,Link
MPUMALANGA,MPUMALANGA DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/Mpumalanga%20COVID%2019%20Expenditure%20Report.pdf
NORTH WEST,NORTH WEST DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/NORT%20WEST%20PROVINCIAL%20GOVERNMENT%20-%20Covid%20Exp%20Overview.pdf
FREE STATE,FREE STATE DEPARTMENTS,Agriculture and Rural Development,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20AGRICULTURE%20AND%20RURAL%20DEVELOPMENT.pdf
FREE STATE,FREE STATE DEPARTMENTS,Cooperative Governance and Traditional Affairs,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20COGTA.pdf
FREE STATE,FREE STATE DEPARTMENTS,"Economic, Small Business Development, Tourism and Environmental Affairs",Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20ECONOMIC%20and%20SMALL%20BUSINESS%20DEVELOPMENT%2c%20TOURISM%20and%20ENVIRONMENTAL%20AFFAIRS.pdf
FREE STATE,FREE STATE DEPARTMENTS,Education,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20EDUCATION.pdf
FREE STATE,FREE STATE DEPARTMENTS,Health,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20HEALTH.pdf
FREE STATE,FREE STATE DEPARTMENTS,Human Settlements,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20HUMAN%20SETTLEMENTS.pdf
FREE STATE,FREE STATE DEPARTMENTS,Office of the Premier,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20OFFICE%20OF%20THE%20PREMIER.pdf
FREE STATE,FREE STATE DEPARTMENTS,"Police, Roads and Transport",Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20POLICE%2c%20ROADS%20and%20TRANSPORT.pdf
FREE STATE,FREE STATE DEPARTMENTS,Provincial Treasury,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20FINANCE%20TENDER%20BULLETIN%20-%201.pdf
FREE STATE,FREE STATE DEPARTMENTS,Provincial Treasury,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20FINANCE%20TENDER%20BULLETIN%20-%202.pdf
FREE STATE,FREE STATE DEPARTMENTS,Public Works and Infrastructure,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20PUBLIC%20WORKS%20INFRASTRUCTURE.pdf
FREE STATE,FREE STATE DEPARTMENTS,Social Development,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20SOCIAL%20DEVELOPMENT.pdf
FREE STATE,FREE STATE DEPARTMENTS,"Sport, Arts, Culture and Recreation",Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/FREE%20STATE%20SPORTS%2c%20ARTS%2c%20CULTURE%20AND%20RECREATION.pdf
GAUTENG,GAUTENG DEPARTMENTS,,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/GAUTENG%20PROVINCIAL%20GOVERNMENT.pdf
GAUTENG,GAUTENG DEPARTMENTS,,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/GAUTENG%20PROVINCIAL%20GOVERNMENT.pdf
GAUTENG,GAUTENG DEPARTMENTS,Human Settlements,Provincial Department,http://ocpo.treasury.gov.za/COVID19/Documents/GAUTENG%20HUMAN%20SETTLEMENTS%20Procurement%20for%20COVID-19%20Report.pdf
EASTERN CAPE,EASTERN CAPE DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/EASTERN%20CAPE%20PROVINCIAL%20GOVERNMENT%20-%20Covid19%20list%20of%20suppliers.pdf
WESTERN CAPE,WESTERN CAPE DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/Western%20Cape%20Government%20-%20Covid-19%20Reporting%20Presidency%20verified%20info.pdf
KWAZULU-NATAL,KWAZULU-NATAL DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/KZN%20PROVINCIAL%20GOVERNMENT%20-%20Procurement%20Disclosure.pdf
LIMPOPO,LIMPOPO DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/LIMPOPO%20GOVERNMENT%20-%20March%20to%20June%2020%20COVID%20Procument%20Report.pdf
LIMPOPO,LIMPOPO DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/LIMPOPO%20GOVERNMENT%20-%20SUPPLIER%20DIRECTORS%20-%20COVID-19%20-%20March%202020%20to%20June%202020.pdf
NORTHERN CAPE,NORTHERN CAPE DEPARTMENTS,,,http://ocpo.treasury.gov.za/COVID19/Documents/Northern%20Cape%20COVID-19%20expenditure%20report%20April%20-%20July%202020%20.pdf
